界面分类,界面名称,分组(模块/应用),图片对应功能,MTZ顶层模块,模块内路径,宽,高,九宫格.9.png,关键槽位
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,通知面板管理图标,com.android.systemui,nightmode/res/drawable-nxhdpi/notification_panel_manage_icon.png,62,60,,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,通知栏下拉面板背景,com.android.systemui,nightmode/res/drawable-nxhdpi/notification_panel_window_bg.9.png,1080,2400,是,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,通知栏“清除全部”按钮,com.android.systemui,nightmode/res/drawable-nxhdpi/notifications_clear_all.png,250,250,,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,notifications_panel_manage_icon.png,com.android.systemui,nightmode/res/drawable-nxhdpi/notifications_panel_manage_icon.png,68,68,,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,快捷开关弹窗背景,com.android.systemui,nightmode/res/drawable-nxhdpi/panel_round_corner_bg.9.png,307,244,是,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,大磁贴展开指示,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_big_tile_expand_indicator.png,24,24,,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,大磁贴展开指示,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_big_tile_expand_indicator_dark.png,24,24,,
controlcenter,控制中心,系统界面(SystemUI) · 深色 nxhdpi,控制中心面板背景,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_control_bg.9.png,1080,2400,是,
controlcenter,控制中心,系统界面(SystemUI) · 深色 nxhdpi,控制中心面板背景,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_control_bg.93.png,1080,2400,,
controlcenter,控制中心,系统界面(SystemUI) · 深色 nxhdpi,控制中心面板背景,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_control_bg.png,1080,2400,,
controlcenter,控制中心,系统界面(SystemUI) · 深色 nxhdpi,亮度条背景,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_control_brightness_toggle_bg.9.png,714,192,是,
controlcenter,控制中心,系统界面(SystemUI) · 深色 nxhdpi,亮度条进度背景,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_control_brightness_toggle_progress_bg.9.png,714,192,是,
controlcenter,控制中心,系统界面(SystemUI) · 深色 nxhdpi,低亮度护眼图案,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_control_low_brightness.png,85,85,,
controlcenter,控制中心,系统界面(SystemUI) · 深色 nxhdpi,控制中心设置按钮,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_control_settings.png,86,86,,
controlcenter,控制中心,系统界面(SystemUI) · 深色 nxhdpi,控制中心编辑按钮,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_control_tiles_edit.png,86,86,,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,快捷开关展开指示,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_tile_expand_indicator.png,15,15,,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,快捷开关展开指示,com.android.systemui,nightmode/res/drawable-nxhdpi/qs_tile_expand_indicator_dark.png,15,15,,
shade,下拉通知栏,系统界面(SystemUI) · 深色 nxhdpi,最近任务卡片背景,com.android.systemui,nightmode/res/drawable-nxhdpi/recent_task_bg.9.png,1080,2342,是,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_alarm.png,49,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_1.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_1_darkmode.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_2.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_2_darkmode.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_3.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_3_darkmode.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_4.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_4_darkmode.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_5.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_bluetooth_handsfree_battery_5_darkmode.png,69,55,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_dual_gps_acquiring.png,41,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_dual_gps_acquiring_darkmode.png,41,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_dual_gps_on.png,41,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_dual_gps_on_darkmode.png,41,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_gps_acquiring.png,41,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_gps_acquiring_darkmode.png,41,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_gps_on.png,41,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】系统小图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_gps_on_darkmode.png,41,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal.png,49,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 0,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_0.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_0_darkmode.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_0_half.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5（深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_0_half_darkmode.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 1,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_1.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_1_darkmode.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_1_half.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_1_half_darkmod.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5（深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_1_half_darkmode.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 2,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_2.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_2_darkmode.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_2_half.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5（深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_2_half_darkmode.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 3,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_3.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_3_darkmode.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_3_half.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5（深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_3_half_darkmode.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 4,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_4.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_4_darkmode.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_4_half.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 .5（深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_4_half_darkmode.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 5,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_5.png,60,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号格 （深色）,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_5_darkmode.png,60,60,,
